#wavelength = 0.35439
#qmax = 15.0
#qmin = 0.0
#Qdamp = 0.04373
#Lorch = off
#Q, intensity(inelacstic), <f^2>, <f>^2
#
4.9000e+00,5.4737e-01,4.5713e-01,2.2345e-01
4.9500e+00,5.4183e-01,4.5163e-01,2.2009e-01
5.0000e+00,5.3409e-01,4.4622e-01,2.1680e-01
5.0500e+00,5.2481e-01,4.4088e-01,2.1357e-01
5.1000e+00,5.1398e-01,4.3562e-01,2.1040e-01
5.1500e+00,5.0202e-01,4.3043e-01,2.0730e-01
5.2000e+00,4.8864e-01,4.2530e-01,2.0425e-01
5.2500e+00,4.7408e-01,4.2025e-01,2.0125e-01
5.3000e+00,4.5714e-01,4.1527e-01,1.9832e-01
5.3500e+00,4.4243e-01,4.1035e-01,1.9544e-01
5.4000e+00,4.2655e-01,4.0550e-01,1.9261e-01
5.4500e+00,4.1173e-01,4.0070e-01,1.8983e-01
5.5000e+00,3.9828e-01,3.9598e-01,1.8711e-01
5.5500e+00,3.8649e-01,3.9131e-01,1.8443e-01
5.6000e+00,3.7628e-01,3.8670e-01,1.8180e-01
5.6500e+00,3.6760e-01,3.8215e-01,1.7923e-01
5.7000e+00,3.6017e-01,3.7765e-01,1.7669e-01
5.7500e+00,3.5389e-01,3.7322e-01,1.7420e-01
5.8000e+00,3.4857e-01,3.6883e-01,1.7176e-01
5.8500e+00,3.4411e-01,3.6451e-01,1.6936e-01
5.9000e+00,3.4025e-01,3.6023e-01,1.6701e-01
5.9500e+00,3.3703e-01,3.5601e-01,1.6469e-01
6.0000e+00,3.3418e-01,3.5184e-01,1.6242e-01
6.0500e+00,3.3178e-01,3.4773e-01,1.6018e-01
6.1000e+00,3.2958e-01,3.4366e-01,1.5799e-01
6.1500e+00,3.2750e-01,3.3965e-01,1.5583e-01
6.2000e+00,3.2547e-01,3.3568e-01,1.5371e-01
6.2500e+00,3.2356e-01,3.3176e-01,1.5163e-01
6.3000e+00,3.2153e-01,3.2789e-01,1.4958e-01
6.3500e+00,3.1943e-01,3.2407e-01,1.4757e-01
6.4000e+00,3.1714e-01,3.2030e-01,1.4560e-01
6.4500e+00,3.1466e-01,3.1657e-01,1.4365e-01
6.5000e+00,3.1175e-01,3.1289e-01,1.4174e-01
6.5500e+00,3.0868e-01,3.0925e-01,1.3987e-01
6.6000e+00,3.0532e-01,3.0566e-01,1.3802e-01
