#wavelength = 0.35439
#qmax = 15.0
#qmin = 0.0
#Qdamp = 0.04373
#Lorch = off
#Q, intensity(inelacstic), <f^2>, <f>^2
#
5.0000e-02,-4.9826e-03,1.3258e+00,9.8950e-01
1.0000e-01,-9.9651e-03,1.3240e+00,9.8820e-01
1.5000e-01,-1.4948e-02,1.3211e+00,9.8604e-01
2.0000e-01,-1.9930e-02,1.3169e+00,9.8304e-01
2.5000e-01,-2.4913e-02,1.3117e+00,9.7921e-01
3.0000e-01,-2.9895e-02,1.3054e+00,9.7458e-01
3.5000e-01,-3.4878e-02,1.2981e+00,9.6918e-01
4.0000e-01,-3.9860e-02,1.2898e+00,9.6303e-01
4.5000e-01,-4.4843e-02,1.2805e+00,9.5618e-01
5.0000e-01,-4.9826e-02,1.2705e+00,9.4866e-01
5.5000e-01,-8.1028e-02,1.2596e+00,9.4051e-01
6.0000e-01,-7.6441e-02,1.2480e+00,9.3178e-01
6.5000e-01,-8.3837e-02,1.2358e+00,9.2251e-01
7.0000e-01,-8.9161e-02,1.2230e+00,9.1273e-01
7.5000e-01,-8.0015e-02,1.2096e+00,9.0251e-01
8.0000e-01,-6.3508e-02,1.1958e+00,8.9188e-01
8.5000e-01,-3.7353e-02,1.1816e+00,8.8088e-01
9.0000e-01,-7.3597e-03,1.1670e+00,8.6956e-01
9.5000e-01,1.0410e-02,1.1522e+00,8.5796e-01
1.0000e+00,3.6832e-02,1.1371e+00,8.4612e-01
1.0500e+00,7.0138e-02,1.1219e+00,8.3408e-01
1.1000e+00,9.7584e-02,1.1064e+00,8.2187e-01
1.1500e+00,1.3897e-01,1.0909e+00,8.0952e-01
1.2000e+00,1.9270e-01,1.0753e+00,7.9708e-01
1.2500e+00,2.4504e-01,1.0597e+00,7.8457e-01
1.3000e+00,3.1738e-01,1.0440e+00,7.7201e-01
1.3500e+00,4.0189e-01,1.0284e+00,7.5944e-01
1.4000e+00,4.7264e-01,1.0128e+00,7.4688e-01
1.4500e+00,5.7049e-01,9.9730e-01,7.3434e-01
1.5000e+00,6.8271e-01,9.8187e-01,7.2186e-01
1.5500e+00,8.0607e-01,9.6653e-01,7.0944e-01
1.6000e+00,9.3406e-01,9.5132e-01,6.9711e-01
1.6500e+00,1.0564e+00,9.3624e-01,6.8488e-01
1.7000e+00,1.1780e+00,9.2131e-01,6.7276e-01
1.7500e+00,1.2892e+00,9.0654e-01,6.6076e-01
1.8000e+00,1.3651e+00,8.9194e-01,6.4889e-01
1.8500e+00,1.3703e+00,8.7752e-01,6.3717e-01
1.9000e+00,1.3507e+00,8.6328e-01,6.2560e-01
1.9500e+00,1.2906e+00,8.4924e-01,6.1419e-01
2.0000e+00,1.2198e+00,8.3540e-01,6.0294e-01
2.0500e+00,1.1170e+00,8.2177e-01,5.9186e-01
2.1000e+00,1.0180e+00,8.0835e-01,5.8095e-01
2.1500e+00,9.2492e-01,7.9514e-01,5.7021e-01
2.2000e+00,8.3469e-01,7.8216e-01,5.5966e-01
2.2500e+00,7.5705e-01,7.6939e-01,5.4928e-01
2.3000e+00,7.0223e-01,7.5684e-01,5.3909e-01
2.3500e+00,6.3917e-01,7.4452e-01,5.2907e-01
2.4000e+00,5.8902e-01,7.3241e-01,5.1924e-01
2.4500e+00,5.5429e-01,7.2054e-01,5.0960e-01
2.5000e+00,5.2991e-01,7.0888e-01,5.0013e-01
2.5500e+00,5.0492e-01,6.9745e-01,4.9085e-01
2.6000e+00,4.7993e-01,6.8624e-01,4.8174e-01
2.6500e+00,4.6602e-01,6.7525e-01,4.7282e-01
2.7000e+00,4.5765e-01,6.6448e-01,4.6407e-01
2.7500e+00,4.5252e-01,6.5392e-01,4.5550e-01
2.8000e+00,4.4887e-01,6.4358e-01,4.4711e-01
2.8500e+00,4.4656e-01,6.3345e-01,4.3888e-01
2.9000e+00,4.4146e-01,6.2353e-01,4.3083e-01
2.9500e+00,4.3902e-01,6.1381e-01,4.2294e-01
3.0000e+00,4.3761e-01,6.0429e-01,4.1522e-01
3.0500e+00,4.3689e-01,5.9497e-01,4.0766e-01
3.1000e+00,4.3914e-01,5.8585e-01,4.0026e-01
3.1500e+00,4.4248e-01,5.7691e-01,3.9301e-01
3.2000e+00,4.4689e-01,5.6817e-01,3.8592e-01
3.2500e+00,4.5295e-01,5.5960e-01,3.7899e-01
3.3000e+00,4.6271e-01,5.5122e-01,3.7220e-01
3.3500e+00,4.7149e-01,5.4301e-01,3.6555e-01
3.4000e+00,4.7521e-01,5.3498e-01,3.5905e-01
3.4500e+00,4.7646e-01,5.2711e-01,3.5269e-01
3.5000e+00,4.8106e-01,5.1940e-01,3.4646e-01
3.5500e+00,4.8776e-01,5.1185e-01,3.4037e-01
3.6000e+00,4.8459e-01,5.0446e-01,3.3441e-01
3.6500e+00,4.8144e-01,4.9722e-01,3.2857e-01
3.7000e+00,4.8033e-01,4.9012e-01,3.2286e-01
3.7500e+00,4.7746e-01,4.8317e-01,3.1728e-01
3.8000e+00,4.7474e-01,4.7636e-01,3.1181e-01
3.8500e+00,4.7146e-01,4.6968e-01,3.0646e-01
3.9000e+00,4.6846e-01,4.6313e-01,3.0122e-01
3.9500e+00,4.6436e-01,4.5671e-01,2.9609e-01
4.0000e+00,4.6089e-01,4.5041e-01,2.9107e-01
4.0500e+00,4.5507e-01,4.4423e-01,2.8616e-01
4.1000e+00,4.5148e-01,4.3816e-01,2.8134e-01
4.1500e+00,4.4830e-01,4.3221e-01,2.7663e-01
4.2000e+00,4.4441e-01,4.2637e-01,2.7202e-01
4.2500e+00,4.4198e-01,4.2064e-01,2.6750e-01
4.3000e+00,4.4200e-01,4.1500e-01,2.6308e-01
4.3500e+00,4.4333e-01,4.0947e-01,2.5875e-01
4.4000e+00,4.4475e-01,4.0403e-01,2.5450e-01
4.4500e+00,4.4638e-01,3.9869e-01,2.5034e-01
4.5000e+00,4.5082e-01,3.9344e-01,2.4627e-01
4.5500e+00,4.5380e-01,3.8828e-01,2.4228e-01
4.6000e+00,4.5410e-01,3.8320e-01,2.3837e-01
4.6500e+00,4.5418e-01,3.7820e-01,2.3454e-01
4.7000e+00,4.5424e-01,3.7329e-01,2.3078e-01
4.7500e+00,4.5464e-01,3.6845e-01,2.2710e-01
4.8000e+00,4.5634e-01,3.6369e-01,2.2349e-01
4.8500e+00,4.5479e-01,3.5901e-01,2.1996e-01
4.9000e+00,4.4926e-01,3.5439e-01,2.1649e-01
4.9500e+00,4.4420e-01,3.4985e-01,2.1309e-01
5.0000e+00,4.3875e-01,3.4538e-01,2.0976e-01
5.0500e+00,4.3248e-01,3.4097e-01,2.0649e-01
5.1000e+00,4.2338e-01,3.3663e-01,2.0328e-01
5.1500e+00,4.1254e-01,3.3235e-01,2.0014e-01
5.2000e+00,3.9927e-01,3.2813e-01,1.9706e-01
5.2500e+00,3.8305e-01,3.2397e-01,1.9404e-01
5.3000e+00,3.6423e-01,3.1987e-01,1.9107e-01
5.3500e+00,3.4839e-01,3.1583e-01,1.8816e-01
5.4000e+00,3.3182e-01,3.1185e-01,1.8531e-01
5.4500e+00,3.1655e-01,3.0792e-01,1.8251e-01
5.5000e+00,3.0264e-01,3.0405e-01,1.7976e-01
5.5500e+00,2.9061e-01,3.0023e-01,1.7707e-01
5.6000e+00,2.8092e-01,2.9646e-01,1.7442e-01
5.6500e+00,2.7264e-01,2.9274e-01,1.7182e-01
5.7000e+00,2.6632e-01,2.8907e-01,1.6928e-01
5.7500e+00,2.6109e-01,2.8546e-01,1.6678e-01
5.8000e+00,2.5712e-01,2.8189e-01,1.6432e-01
