#wavelength = 0.3494
#qmax = 15.0
#qmin = 0
#Qdamp = 0.04373
#Lorch = off
#Q, intensity(inelacstic), <f^2>, <f>^2
#
4.9000e+00,4.2577e-01,3.5021e-01,2.1425e-01
4.9500e+00,4.2174e-01,3.4563e-01,2.1083e-01
5.0000e+00,4.1708e-01,3.4113e-01,2.0748e-01
5.0500e+00,4.0998e-01,3.3669e-01,2.0419e-01
5.1000e+00,4.0183e-01,3.3232e-01,2.0097e-01
5.1500e+00,3.9309e-01,3.2802e-01,1.9781e-01
5.2000e+00,3.8143e-01,3.2378e-01,1.9471e-01
5.2500e+00,3.6809e-01,3.1960e-01,1.9168e-01
5.3000e+00,3.5248e-01,3.1548e-01,1.8870e-01
5.3500e+00,3.3729e-01,3.1142e-01,1.8578e-01
5.4000e+00,3.2211e-01,3.0742e-01,1.8292e-01
5.4500e+00,3.0862e-01,3.0348e-01,1.8011e-01
5.5000e+00,2.9567e-01,2.9959e-01,1.7736e-01
5.5500e+00,2.8507e-01,2.9576e-01,1.7466e-01
5.6000e+00,2.7612e-01,2.9198e-01,1.7201e-01
5.6500e+00,2.6837e-01,2.8825e-01,1.6941e-01
5.7000e+00,2.6251e-01,2.8457e-01,1.6686e-01
5.7500e+00,2.5742e-01,2.8095e-01,1.6436e-01
5.8000e+00,2.5309e-01,2.7737e-01,1.6191e-01
5.8500e+00,2.5033e-01,2.7385e-01,1.5950e-01
5.9000e+00,2.4805e-01,2.7037e-01,1.5714e-01
5.9500e+00,2.4634e-01,2.6694e-01,1.5482e-01
6.0000e+00,2.4431e-01,2.6356e-01,1.5255e-01
6.0500e+00,2.4281e-01,2.6022e-01,1.5031e-01
6.1000e+00,2.4180e-01,2.5693e-01,1.4812e-01
6.1500e+00,2.4050e-01,2.5368e-01,1.4597e-01
6.2000e+00,2.3920e-01,2.5047e-01,1.4386e-01
6.2500e+00,2.3795e-01,2.4731e-01,1.4179e-01
6.3000e+00,2.3678e-01,2.4419e-01,1.3976e-01
6.3500e+00,2.3563e-01,2.4112e-01,1.3776e-01
6.4000e+00,2.3384e-01,2.3808e-01,1.3580e-01
6.4500e+00,2.3193e-01,2.3509e-01,1.3388e-01
6.5000e+00,2.2978e-01,2.3213e-01,1.3199e-01
6.5500e+00,2.2760e-01,2.2922e-01,1.3013e-01
6.6000e+00,2.2509e-01,2.2634e-01,1.2831e-01
6.6500e+00,2.2237e-01,2.2351e-01,1.2652e-01
6.7000e+00,2.1972e-01,2.2071e-01,1.2476e-01
6.7500e+00,2.1643e-01,2.1795e-01,1.2304e-01
6.8000e+00,2.1284e-01,2.1523e-01,1.2134e-01
6.8500e+00,2.0941e-01,2.1255e-01,1.1968e-01
6.9000e+00,2.0577e-01,2.0990e-01,1.1805e-01
6.9500e+00,2.0188e-01,2.0729e-01,1.1644e-01
7.0000e+00,1.9813e-01,2.0471e-01,1.1486e-01
7.0500e+00,1.9409e-01,2.0217e-01,1.1331e-01
7.1000e+00,1.9031e-01,1.9967e-01,1.1179e-01
7.1500e+00,1.8699e-01,1.9720e-01,1.1030e-01
7.2000e+00,1.8369e-01,1.9476e-01,1.0883e-01
7.2500e+00,1.8091e-01,1.9236e-01,1.0738e-01
7.3000e+00,1.7844e-01,1.8999e-01,1.0596e-01
7.3500e+00,1.7637e-01,1.8765e-01,1.0457e-01
7.4000e+00,1.7473e-01,1.8535e-01,1.0320e-01
7.4500e+00,1.7337e-01,1.8308e-01,1.0185e-01
7.5000e+00,1.7252e-01,1.8084e-01,1.0053e-01
7.5500e+00,1.7168e-01,1.7863e-01,9.9232e-02
7.6000e+00,1.7117e-01,1.7645e-01,9.7954e-02
7.6500e+00,1.7067e-01,1.7431e-01,9.6698e-02
7.7000e+00,1.7028e-01,1.7219e-01,9.5464e-02
7.7500e+00,1.6983e-01,1.7011e-01,9.4250e-02
7.8000e+00,1.6921e-01,1.6805e-01,9.3057e-02
7.8500e+00,1.6851e-01,1.6602e-01,9.1885e-02
7.9000e+00,1.6762e-01,1.6403e-01,9.0732e-02
7.9500e+00,1.6664e-01,1.6206e-01,8.9599e-02
8.0000e+00,1.6517e-01,1.6012e-01,8.8485e-02
8.0500e+00,1.6380e-01,1.5821e-01,8.7389e-02
8.1000e+00,1.6198e-01,1.5632e-01,8.6312e-02
8.1500e+00,1.6016e-01,1.5447e-01,8.5253e-02
8.2000e+00,1.5833e-01,1.5264e-01,8.4212e-02
8.2500e+00,1.5638e-01,1.5083e-01,8.3188e-02
8.3000e+00,1.5470e-01,1.4906e-01,8.2181e-02
8.3500e+00,1.5292e-01,1.4731e-01,8.1190e-02
8.4000e+00,1.5104e-01,1.4558e-01,8.0216e-02
8.4500e+00,1.4923e-01,1.4388e-01,7.9259e-02
8.5000e+00,1.4761e-01,1.4221e-01,7.8317e-02
8.5500e+00,1.4578e-01,1.4056e-01,7.7390e-02
8.6000e+00,1.4401e-01,1.3893e-01,7.6479e-02
8.6500e+00,1.4207e-01,1.3733e-01,7.5582e-02
8.7000e+00,1.4034e-01,1.3575e-01,7.4700e-02
8.7500e+00,1.3852e-01,1.3420e-01,7.3833e-02
8.8000e+00,1.3667e-01,1.3267e-01,7.2980e-02
8.8500e+00,1.3487e-01,1.3116e-01,7.2140e-02
8.9000e+00,1.3304e-01,1.2967e-01,7.1314e-02
8.9500e+00,1.3103e-01,1.2821e-01,7.0502e-02
9.0000e+00,1.2903e-01,1.2677e-01,6.9702e-02
9.0500e+00,1.2690e-01,1.2535e-01,6.8916e-02
9.1000e+00,1.2491e-01,1.2395e-01,6.8142e-02
9.1500e+00,1.2287e-01,1.2257e-01,6.7380e-02
9.2000e+00,1.2079e-01,1.2121e-01,6.6631e-02
9.2500e+00,1.1871e-01,1.1987e-01,6.5893e-02
9.3000e+00,1.1675e-01,1.1856e-01,6.5167e-02
9.3500e+00,1.1491e-01,1.1726e-01,6.4453e-02
9.4000e+00,1.1318e-01,1.1598e-01,6.3750e-02
9.4500e+00,1.1141e-01,1.1472e-01,6.3058e-02
9.5000e+00,1.0975e-01,1.1348e-01,6.2377e-02
9.5500e+00,1.0824e-01,1.1226e-01,6.1707e-02
9.6000e+00,1.0674e-01,1.1106e-01,6.1047e-02
9.6500e+00,1.0547e-01,1.0988e-01,6.0397e-02
9.7000e+00,1.0421e-01,1.0871e-01,5.9758e-02
9.7500e+00,1.0309e-01,1.0756e-01,5.9128e-02
9.8000e+00,1.0201e-01,1.0643e-01,5.8508e-02
9.8500e+00,1.0098e-01,1.0531e-01,5.7898e-02
9.9000e+00,9.9998e-02,1.0421e-01,5.7297e-02
9.9500e+00,9.9062e-02,1.0313e-01,5.6706e-02
1.0000e+01,9.8149e-02,1.0207e-01,5.6123e-02
1.0050e+01,9.7312e-02,1.0102e-01,5.5549e-02
1.0100e+01,9.6509e-02,9.9981e-02,5.4984e-02
1.0150e+01,9.5698e-02,9.8963e-02,5.4428e-02
1.0200e+01,9.4889e-02,9.7959e-02,5.3880e-02
1.0250e+01,9.4029e-02,9.6970e-02,5.3340e-02
1.0300e+01,9.3226e-02,9.5996e-02,5.2809e-02
1.0350e+01,9.2380e-02,9.5037e-02,5.2285e-02
1.0400e+01,9.1546e-02,9.4091e-02,5.1769e-02
1.0450e+01,9.0703e-02,9.3160e-02,5.1261e-02
1.0500e+01,8.9869e-02,9.2242e-02,5.0760e-02
1.0550e+01,8.9038e-02,9.1338e-02,5.0267e-02
1.0600e+01,8.8188e-02,9.0447e-02,4.9781e-02
1.0650e+01,8.7258e-02,8.9569e-02,4.9302e-02
1.0700e+01,8.6418e-02,8.8704e-02,4.8831e-02
1.0750e+01,8.5540e-02,8.7852e-02,4.8366e-02
1.0800e+01,8.4713e-02,8.7012e-02,4.7908e-02
1.0850e+01,8.3839e-02,8.6184e-02,4.7456e-02
1.0900e+01,8.2982e-02,8.5368e-02,4.7011e-02
1.0950e+01,8.2180e-02,8.4564e-02,4.6572e-02
1.1000e+01,8.1400e-02,8.3772e-02,4.6140e-02
1.1050e+01,8.0590e-02,8.2990e-02,4.5714e-02
1.1100e+01,7.9781e-02,8.2220e-02,4.5294e-02
1.1150e+01,7.9072e-02,8.1461e-02,4.4880e-02
1.1200e+01,7.8296e-02,8.0713e-02,4.4471e-02
1.1250e+01,7.7714e-02,7.9975e-02,4.4069e-02
1.1300e+01,7.7127e-02,7.9248e-02,4.3672e-02
1.1350e+01,7.6531e-02,7.8531e-02,4.3280e-02
1.1400e+01,7.6023e-02,7.7823e-02,4.2894e-02
1.1450e+01,7.5643e-02,7.7126e-02,4.2514e-02
1.1500e+01,7.5249e-02,7.6439e-02,4.2138e-02
1.1550e+01,7.4955e-02,7.5760e-02,4.1768e-02
1.1600e+01,7.4696e-02,7.5092e-02,4.1403e-02
1.1650e+01,7.4493e-02,7.4432e-02,4.1043e-02
1.1700e+01,7.4334e-02,7.3781e-02,4.0687e-02
1.1750e+01,7.4181e-02,7.3139e-02,4.0337e-02
1.1800e+01,7.4063e-02,7.2506e-02,3.9991e-02
1.1850e+01,7.3962e-02,7.1881e-02,3.9650e-02
1.1900e+01,7.3895e-02,7.1265e-02,3.9313e-02
1.1950e+01,7.3857e-02,7.0657e-02,3.8981e-02
1.2000e+01,7.3753e-02,7.0057e-02,3.8653e-02
1.2050e+01,7.3685e-02,6.9465e-02,3.8330e-02
1.2100e+01,7.3586e-02,6.8880e-02,3.8010e-02
1.2150e+01,7.3671e-02,6.8303e-02,3.7695e-02
1.2200e+01,7.3837e-02,6.7734e-02,3.7384e-02
1.2250e+01,7.3500e-02,6.7172e-02,3.7077e-02
1.2300e+01,7.2935e-02,6.6617e-02,3.6774e-02
1.2350e+01,7.2386e-02,6.6069e-02,3.6475e-02
1.2400e+01,7.1858e-02,6.5528e-02,3.6180e-02
1.2450e+01,7.1299e-02,6.4994e-02,3.5888e-02
1.2500e+01,7.0694e-02,6.4467e-02,3.5600e-02
1.2550e+01,6.9994e-02,6.3946e-02,3.5316e-02
1.2600e+01,6.9274e-02,6.3432e-02,3.5035e-02
1.2650e+01,6.8486e-02,6.2924e-02,3.4757e-02
1.2700e+01,6.7696e-02,6.2422e-02,3.4483e-02
1.2750e+01,6.6910e-02,6.1926e-02,3.4213e-02
1.2800e+01,6.6069e-02,6.1436e-02,3.3946e-02
1.2850e+01,6.5207e-02,6.0953e-02,3.3682e-02
1.2900e+01,6.4342e-02,6.0474e-02,3.3421e-02
1.2950e+01,6.3513e-02,6.0002e-02,3.3163e-02
1.3000e+01,6.2686e-02,5.9535e-02,3.2909e-02
1.3050e+01,6.1717e-02,5.9074e-02,3.2657e-02
1.3100e+01,6.0837e-02,5.8617e-02,3.2409e-02
1.3150e+01,5.9966e-02,5.8167e-02,3.2163e-02
1.3200e+01,5.9150e-02,5.7721e-02,3.1921e-02
1.3250e+01,5.8391e-02,5.7280e-02,3.1681e-02
1.3300e+01,5.7661e-02,5.6845e-02,3.1444e-02
1.3350e+01,5.6973e-02,5.6414e-02,3.1210e-02
