#wavelength = 0.3494
#qmax = 15.0
#qmin = 0
#Qdamp = 0.04373
#Lorch = off
#Q, intensity(inelacstic), <f^2>, <f>^2
#
5.0000e-02,2.3548e-02,1.5435e+00,9.7321e-01
1.0000e-01,4.7095e-02,1.5415e+00,9.7196e-01
1.5000e-01,7.0643e-02,1.5382e+00,9.6989e-01
2.0000e-01,9.4191e-02,1.5336e+00,9.6701e-01
2.5000e-01,1.1774e-01,1.5277e+00,9.6335e-01
3.0000e-01,1.4129e-01,1.5207e+00,9.5892e-01
3.5000e-01,1.6483e-01,1.5125e+00,9.5375e-01
4.0000e-01,1.8838e-01,1.5033e+00,9.4788e-01
4.5000e-01,2.1193e-01,1.4930e+00,9.4133e-01
5.0000e-01,2.3548e-01,1.4819e+00,9.3416e-01
5.5000e-01,2.5902e-01,1.4699e+00,9.2638e-01
6.0000e-01,3.8480e-01,1.4571e+00,9.1806e-01
6.5000e-01,3.9121e-01,1.4437e+00,9.0922e-01
7.0000e-01,3.8201e-01,1.4297e+00,8.9991e-01
7.5000e-01,3.7797e-01,1.4151e+00,8.9018e-01
8.0000e-01,3.8023e-01,1.4001e+00,8.8006e-01
8.5000e-01,3.8356e-01,1.3847e+00,8.6959e-01
9.0000e-01,3.8859e-01,1.3689e+00,8.5881e-01
9.5000e-01,3.9789e-01,1.3528e+00,8.4776e-01
1.0000e+00,4.1157e-01,1.3365e+00,8.3648e-01
1.0500e+00,4.3015e-01,1.3200e+00,8.2499e-01
1.1000e+00,4.5179e-01,1.3034e+00,8.1334e-01
1.1500e+00,4.7870e-01,1.2866e+00,8.0155e-01
1.2000e+00,5.1218e-01,1.2698e+00,7.8965e-01
1.2500e+00,5.5870e-01,1.2529e+00,7.7767e-01
1.3000e+00,6.2199e-01,1.2359e+00,7.6563e-01
1.3500e+00,7.0445e-01,1.2190e+00,7.5356e-01
1.4000e+00,8.0134e-01,1.2021e+00,7.4148e-01
1.4500e+00,9.1103e-01,1.1852e+00,7.2941e-01
1.5000e+00,1.0279e+00,1.1683e+00,7.1737e-01
1.5500e+00,1.1433e+00,1.1516e+00,7.0537e-01
1.6000e+00,1.2508e+00,1.1349e+00,6.9344e-01
1.6500e+00,1.3477e+00,1.1183e+00,6.8158e-01
1.7000e+00,1.4324e+00,1.1018e+00,6.6981e-01
1.7500e+00,1.5072e+00,1.0855e+00,6.5815e-01
1.8000e+00,1.5666e+00,1.0693e+00,6.4659e-01
1.8500e+00,1.6016e+00,1.0532e+00,6.3516e-01
1.9000e+00,1.6021e+00,1.0373e+00,6.2387e-01
1.9500e+00,1.5596e+00,1.0216e+00,6.1271e-01
2.0000e+00,1.4785e+00,1.0060e+00,6.0170e-01
2.0500e+00,1.3687e+00,9.9068e-01,5.9084e-01
2.1000e+00,1.2491e+00,9.7551e-01,5.8014e-01
2.1500e+00,1.1313e+00,9.6055e-01,5.6960e-01
2.2000e+00,1.0252e+00,9.4579e-01,5.5923e-01
2.2500e+00,9.3665e-01,9.3125e-01,5.4902e-01
2.3000e+00,8.6543e-01,9.1693e-01,5.3899e-01
2.3500e+00,8.1252e-01,9.0283e-01,5.2913e-01
2.4000e+00,7.7571e-01,8.8896e-01,5.1945e-01
2.4500e+00,7.5331e-01,8.7532e-01,5.0994e-01
2.5000e+00,7.4092e-01,8.6190e-01,5.0061e-01
2.5500e+00,7.3622e-01,8.4872e-01,4.9145e-01
2.6000e+00,7.3446e-01,8.3578e-01,4.8247e-01
2.6500e+00,7.2915e-01,8.2306e-01,4.7366e-01
2.7000e+00,7.1783e-01,8.1058e-01,4.6503e-01
2.7500e+00,6.9908e-01,7.9834e-01,4.5657e-01
2.8000e+00,6.7517e-01,7.8632e-01,4.4828e-01
2.8500e+00,6.5253e-01,7.7454e-01,4.4017e-01
2.9000e+00,6.3170e-01,7.6298e-01,4.3222e-01
2.9500e+00,6.1538e-01,7.5165e-01,4.2443e-01
3.0000e+00,6.0339e-01,7.4054e-01,4.1681e-01
3.0500e+00,5.9432e-01,7.2966e-01,4.0935e-01
3.1000e+00,5.8964e-01,7.1899e-01,4.0205e-01
3.1500e+00,5.8853e-01,7.0854e-01,3.9491e-01
3.2000e+00,5.8988e-01,6.9830e-01,3.8791e-01
3.2500e+00,5.9314e-01,6.8826e-01,3.8107e-01
3.3000e+00,5.9826e-01,6.7843e-01,3.7438e-01
3.3500e+00,6.0492e-01,6.6880e-01,3.6783e-01
3.4000e+00,6.1093e-01,6.5936e-01,3.6143e-01
3.4500e+00,6.1705e-01,6.5011e-01,3.5516e-01
3.5000e+00,6.2225e-01,6.4105e-01,3.4903e-01
3.5500e+00,6.2618e-01,6.3218e-01,3.4303e-01
3.6000e+00,6.2786e-01,6.2347e-01,3.3716e-01
3.6500e+00,6.2844e-01,6.1495e-01,3.3142e-01
3.7000e+00,6.2659e-01,6.0659e-01,3.2581e-01
3.7500e+00,6.2285e-01,5.9839e-01,3.2031e-01
3.8000e+00,6.1757e-01,5.9035e-01,3.1494e-01
3.8500e+00,6.1092e-01,5.8247e-01,3.0968e-01
3.9000e+00,6.0290e-01,5.7474e-01,3.0453e-01
3.9500e+00,5.9422e-01,5.6716e-01,2.9949e-01
4.0000e+00,5.8523e-01,5.5971e-01,2.9456e-01
4.0500e+00,5.7641e-01,5.5241e-01,2.8973e-01
4.1000e+00,5.6903e-01,5.4524e-01,2.8501e-01
4.1500e+00,5.6208e-01,5.3820e-01,2.8038e-01
4.2000e+00,5.5529e-01,5.3128e-01,2.7585e-01
4.2500e+00,5.4832e-01,5.2449e-01,2.7142e-01
4.3000e+00,5.4330e-01,5.1781e-01,2.6708e-01
4.3500e+00,5.3967e-01,5.1125e-01,2.6282e-01
4.4000e+00,5.3700e-01,5.0480e-01,2.5866e-01
4.4500e+00,5.3493e-01,4.9845e-01,2.5458e-01
4.5000e+00,5.3386e-01,4.9221e-01,2.5058e-01
4.5500e+00,5.3340e-01,4.8608e-01,2.4666e-01
4.6000e+00,5.3424e-01,4.8004e-01,2.4282e-01
4.6500e+00,5.3553e-01,4.7409e-01,2.3906e-01
4.7000e+00,5.3691e-01,4.6824e-01,2.3537e-01
4.7500e+00,5.3770e-01,4.6248e-01,2.3176e-01
4.8000e+00,5.3766e-01,4.5680e-01,2.2822e-01
4.8500e+00,5.3556e-01,4.5121e-01,2.2474e-01
4.9000e+00,5.3193e-01,4.4570e-01,2.2133e-01
4.9500e+00,5.2642e-01,4.4027e-01,2.1799e-01
5.0000e+00,5.1897e-01,4.3492e-01,2.1472e-01
5.0500e+00,5.0988e-01,4.2964e-01,2.1150e-01
5.1000e+00,4.9932e-01,4.2444e-01,2.0835e-01
5.1500e+00,4.8756e-01,4.1931e-01,2.0526e-01
5.2000e+00,4.7439e-01,4.1425e-01,2.0223e-01
5.2500e+00,4.6015e-01,4.0926e-01,1.9925e-01
5.3000e+00,4.4479e-01,4.0434e-01,1.9633e-01
5.3500e+00,4.2903e-01,3.9948e-01,1.9346e-01
5.4000e+00,4.1334e-01,3.9468e-01,1.9065e-01
5.4500e+00,3.9870e-01,3.8995e-01,1.8788e-01
5.5000e+00,3.8530e-01,3.8528e-01,1.8517e-01
5.5500e+00,3.7370e-01,3.8067e-01,1.8251e-01
5.6000e+00,3.6375e-01,3.7612e-01,1.7990e-01
5.6500e+00,3.5526e-01,3.7163e-01,1.7733e-01
5.7000e+00,3.4815e-01,3.6719e-01,1.7481e-01
5.7500e+00,3.4202e-01,3.6281e-01,1.7234e-01
5.8000e+00,3.3679e-01,3.5849e-01,1.6991e-01
5.8500e+00,3.3241e-01,3.5422e-01,1.6752e-01
5.9000e+00,3.2868e-01,3.5000e-01,1.6518e-01
5.9500e+00,3.2561e-01,3.4584e-01,1.6288e-01
6.0000e+00,3.2288e-01,3.4172e-01,1.6062e-01
6.0500e+00,3.2060e-01,3.3766e-01,1.5839e-01
6.1000e+00,3.1844e-01,3.3365e-01,1.5621e-01
6.1500e+00,3.1657e-01,3.2969e-01,1.5407e-01
6.2000e+00,3.1466e-01,3.2578e-01,1.5196e-01
6.2500e+00,3.1275e-01,3.2191e-01,1.4989e-01
6.3000e+00,3.1079e-01,3.1810e-01,1.4786e-01
6.3500e+00,3.0879e-01,3.1433e-01,1.4586e-01
6.4000e+00,3.0648e-01,3.1061e-01,1.4389e-01
6.4500e+00,3.0408e-01,3.0694e-01,1.4196e-01
6.5000e+00,3.0131e-01,3.0331e-01,1.4006e-01
6.5500e+00,2.9835e-01,2.9972e-01,1.3820e-01
6.6000e+00,2.9495e-01,2.9619e-01,1.3636e-01
6.6500e+00,2.9132e-01,2.9269e-01,1.3456e-01
6.7000e+00,2.8738e-01,2.8924e-01,1.3279e-01
6.7500e+00,2.8306e-01,2.8584e-01,1.3104e-01
6.8000e+00,2.7840e-01,2.8248e-01,1.2933e-01
6.8500e+00,2.7354e-01,2.7916e-01,1.2765e-01
6.9000e+00,2.6861e-01,2.7588e-01,1.2599e-01
6.9500e+00,2.6371e-01,2.7264e-01,1.2436e-01
7.0000e+00,2.5882e-01,2.6945e-01,1.2276e-01
7.0500e+00,2.5413e-01,2.6630e-01,1.2119e-01
7.1000e+00,2.4985e-01,2.6319e-01,1.1964e-01
7.1500e+00,2.4594e-01,2.6012e-01,1.1812e-01
7.2000e+00,2.4243e-01,2.5709e-01,1.1662e-01
7.2500e+00,2.3924e-01,2.5410e-01,1.1515e-01
7.3000e+00,2.3661e-01,2.5114e-01,1.1370e-01
7.3500e+00,2.3427e-01,2.4823e-01,1.1227e-01
7.4000e+00,2.3238e-01,2.4536e-01,1.1087e-01
7.4500e+00,2.3077e-01,2.4252e-01,1.0949e-01
7.5000e+00,2.2956e-01,2.3973e-01,1.0814e-01
7.5500e+00,2.2845e-01,2.3697e-01,1.0680e-01
7.6000e+00,2.2761e-01,2.3424e-01,1.0549e-01
7.6500e+00,2.2684e-01,2.3156e-01,1.0420e-01
7.7000e+00,2.2616e-01,2.2891e-01,1.0293e-01
7.7500e+00,2.2550e-01,2.2629e-01,1.0168e-01
7.8000e+00,2.2479e-01,2.2372e-01,1.0045e-01
7.8500e+00,2.2406e-01,2.2117e-01,9.9242e-02
7.9000e+00,2.2303e-01,2.1867e-01,9.8052e-02
7.9500e+00,2.2191e-01,2.1619e-01,9.6881e-02
8.0000e+00,2.2062e-01,2.1375e-01,9.5729e-02
8.0500e+00,2.1926e-01,2.1135e-01,9.4595e-02
8.1000e+00,2.1770e-01,2.0898e-01,9.3480e-02
8.1500e+00,2.1603e-01,2.0664e-01,9.2382e-02
8.2000e+00,2.1436e-01,2.0433e-01,9.1301e-02
8.2500e+00,2.1246e-01,2.0206e-01,9.0238e-02
8.3000e+00,2.1041e-01,1.9982e-01,8.9191e-02
8.3500e+00,2.0828e-01,1.9761e-01,8.8161e-02
8.4000e+00,2.0607e-01,1.9543e-01,8.7148e-02
8.4500e+00,2.0387e-01,1.9328e-01,8.6150e-02
8.5000e+00,2.0143e-01,1.9117e-01,8.5168e-02
8.5500e+00,1.9896e-01,1.8908e-01,8.4201e-02
8.6000e+00,1.9634e-01,1.8702e-01,8.3250e-02
8.6500e+00,1.9352e-01,1.8500e-01,8.2313e-02
8.7000e+00,1.9101e-01,1.8300e-01,8.1391e-02
8.7500e+00,1.8838e-01,1.8103e-01,8.0484e-02
8.8000e+00,1.8562e-01,1.7909e-01,7.9590e-02
8.8500e+00,1.8286e-01,1.7717e-01,7.8711e-02
8.9000e+00,1.8010e-01,1.7529e-01,7.7845e-02
8.9500e+00,1.7736e-01,1.7343e-01,7.6992e-02
9.0000e+00,1.7469e-01,1.7159e-01,7.6152e-02
9.0500e+00,1.7204e-01,1.6979e-01,7.5326e-02
9.1000e+00,1.6944e-01,1.6801e-01,7.4512e-02
9.1500e+00,1.6693e-01,1.6625e-01,7.3711e-02
9.2000e+00,1.6447e-01,1.6453e-01,7.2922e-02
9.2500e+00,1.6212e-01,1.6282e-01,7.2144e-02
9.3000e+00,1.5984e-01,1.6114e-01,7.1379e-02
9.3500e+00,1.5762e-01,1.5949e-01,7.0626e-02
9.4000e+00,1.5547e-01,1.5786e-01,6.9883e-02
9.4500e+00,1.5343e-01,1.5625e-01,6.9152e-02
9.5000e+00,1.5153e-01,1.5467e-01,6.8432e-02
9.5500e+00,1.4964e-01,1.5311e-01,6.7723e-02
9.6000e+00,1.4782e-01,1.5157e-01,6.7025e-02
9.6500e+00,1.4610e-01,1.5005e-01,6.6337e-02
9.7000e+00,1.4443e-01,1.4856e-01,6.5659e-02
9.7500e+00,1.4288e-01,1.4709e-01,6.4991e-02
9.8000e+00,1.4141e-01,1.4564e-01,6.4334e-02
9.8500e+00,1.3995e-01,1.4421e-01,6.3685e-02
9.9000e+00,1.3857e-01,1.4280e-01,6.3047e-02
9.9500e+00,1.3725e-01,1.4141e-01,6.2418e-02
1.0000e+01,1.3597e-01,1.4004e-01,6.1798e-02
1.0050e+01,1.3472e-01,1.3869e-01,6.1187e-02
1.0100e+01,1.3347e-01,1.3736e-01,6.0586e-02
1.0150e+01,1.3225e-01,1.3604e-01,5.9992e-02
1.0200e+01,1.3107e-01,1.3475e-01,5.9408e-02
1.0250e+01,1.2986e-01,1.3348e-01,5.8832e-02
1.0300e+01,1.2870e-01,1.3222e-01,5.8264e-02
1.0350e+01,1.2749e-01,1.3098e-01,5.7705e-02
1.0400e+01,1.2632e-01,1.2976e-01,5.7153e-02
1.0450e+01,1.2512e-01,1.2856e-01,5.6609e-02
1.0500e+01,1.2393e-01,1.2737e-01,5.6073e-02
1.0550e+01,1.2270e-01,1.2620e-01,5.5545e-02
1.0600e+01,1.2148e-01,1.2505e-01,5.5024e-02
1.0650e+01,1.2029e-01,1.2391e-01,5.4511e-02
1.0700e+01,1.1907e-01,1.2279e-01,5.4004e-02
1.0750e+01,1.1793e-01,1.2168e-01,5.3505e-02
1.0800e+01,1.1679e-01,1.2059e-01,5.3013e-02
1.0850e+01,1.1567e-01,1.1951e-01,5.2527e-02
1.0900e+01,1.1460e-01,1.1845e-01,5.2048e-02
1.0950e+01,1.1353e-01,1.1740e-01,5.1576e-02
1.1000e+01,1.1248e-01,1.1637e-01,5.1110e-02
1.1050e+01,1.1146e-01,1.1535e-01,5.0651e-02
1.1100e+01,1.1048e-01,1.1435e-01,5.0198e-02
1.1150e+01,1.0956e-01,1.1336e-01,4.9750e-02
1.1200e+01,1.0868e-01,1.1238e-01,4.9309e-02
1.1250e+01,1.0776e-01,1.1141e-01,4.8874e-02
1.1300e+01,1.0696e-01,1.1046e-01,4.8445e-02
1.1350e+01,1.0621e-01,1.0952e-01,4.8022e-02
1.1400e+01,1.0547e-01,1.0859e-01,4.7604e-02
1.1450e+01,1.0483e-01,1.0768e-01,4.7191e-02
