#wavelength = 0.35439
#qmax = 15.0
#qmin = 0.0
#Qdamp = 0.04373
#Lorch = off
#Q, intensity(inelacstic), <f^2>, <f>^2
#
5.0000e-02,4.0466e-03,1.6058e+00,9.7485e-01
1.0000e-01,8.0932e-03,1.6037e+00,9.7360e-01
1.5000e-01,1.2140e-02,1.6003e+00,9.7154e-01
2.0000e-01,1.6186e-02,1.5955e+00,9.6867e-01
2.5000e-01,2.0233e-02,1.5895e+00,9.6501e-01
3.0000e-01,2.4280e-02,1.5823e+00,9.6059e-01
3.5000e-01,2.8326e-02,1.5739e+00,9.5543e-01
4.0000e-01,3.2373e-02,1.5644e+00,9.4958e-01
4.5000e-01,3.6419e-02,1.5539e+00,9.4306e-01
5.0000e-01,4.0466e-02,1.5425e+00,9.3591e-01
5.5000e-01,-2.8940e-03,1.5302e+00,9.2817e-01
6.0000e-01,-1.8400e-02,1.5171e+00,9.1989e-01
6.5000e-01,-2.0178e-02,1.5034e+00,9.1110e-01
7.0000e-01,-1.6559e-02,1.4891e+00,9.0185e-01
7.5000e-01,-4.6065e-03,1.4742e+00,8.9218e-01
8.0000e-01,1.7250e-02,1.4589e+00,8.8213e-01
8.5000e-01,4.2419e-02,1.4431e+00,8.7173e-01
9.0000e-01,6.9023e-02,1.4271e+00,8.6104e-01
9.5000e-01,9.9777e-02,1.4107e+00,8.5008e-01
1.0000e+00,1.3296e-01,1.3941e+00,8.3890e-01
1.0500e+00,1.6794e-01,1.3774e+00,8.2751e-01
1.1000e+00,2.0536e-01,1.3604e+00,8.1597e-01
1.1500e+00,2.4622e-01,1.3434e+00,8.0429e-01
1.2000e+00,2.9021e-01,1.3263e+00,7.9250e-01
1.2500e+00,3.4281e-01,1.3091e+00,7.8063e-01
1.3000e+00,4.0463e-01,1.2919e+00,7.6871e-01
1.3500e+00,4.8084e-01,1.2747e+00,7.5676e-01
1.4000e+00,5.7035e-01,1.2575e+00,7.4480e-01
1.4500e+00,6.7940e-01,1.2403e+00,7.3284e-01
1.5000e+00,8.1254e-01,1.2231e+00,7.2091e-01
1.5500e+00,9.6851e-01,1.2061e+00,7.0903e-01
1.6000e+00,1.1483e+00,1.1891e+00,6.9721e-01
1.6500e+00,1.3420e+00,1.1722e+00,6.8546e-01
1.7000e+00,1.5350e+00,1.1554e+00,6.7379e-01
1.7500e+00,1.7042e+00,1.1387e+00,6.6223e-01
1.8000e+00,1.8231e+00,1.1222e+00,6.5077e-01
1.8500e+00,1.8810e+00,1.1058e+00,6.3943e-01
1.9000e+00,1.8568e+00,1.0895e+00,6.2823e-01
1.9500e+00,1.7664e+00,1.0735e+00,6.1715e-01
2.0000e+00,1.6332e+00,1.0575e+00,6.0622e-01
2.0500e+00,1.4799e+00,1.0418e+00,5.9544e-01
2.1000e+00,1.3284e+00,1.0263e+00,5.8481e-01
2.1500e+00,1.1919e+00,1.0109e+00,5.7434e-01
2.2000e+00,1.0754e+00,9.9581e-01,5.6403e-01
2.2500e+00,9.7901e-01,9.8089e-01,5.5388e-01
2.3000e+00,9.0531e-01,9.6618e-01,5.4390e-01
2.3500e+00,8.5065e-01,9.5169e-01,5.3410e-01
2.4000e+00,8.1387e-01,9.3743e-01,5.2446e-01
2.4500e+00,7.9079e-01,9.2339e-01,5.1500e-01
2.5000e+00,7.7762e-01,9.0958e-01,5.0570e-01
2.5500e+00,7.7271e-01,8.9600e-01,4.9658e-01
2.6000e+00,7.7090e-01,8.8266e-01,4.8764e-01
2.6500e+00,7.6489e-01,8.6955e-01,4.7886e-01
2.7000e+00,7.5024e-01,8.5668e-01,4.7026e-01
2.7500e+00,7.2714e-01,8.4404e-01,4.6183e-01
2.8000e+00,6.9979e-01,8.3163e-01,4.5356e-01
2.8500e+00,6.7441e-01,8.1946e-01,4.4547e-01
2.9000e+00,6.5268e-01,8.0751e-01,4.3753e-01
2.9500e+00,6.3684e-01,7.9580e-01,4.2977e-01
3.0000e+00,6.2618e-01,7.8431e-01,4.2216e-01
3.0500e+00,6.2140e-01,7.7305e-01,4.1471e-01
3.1000e+00,6.1931e-01,7.6200e-01,4.0742e-01
3.1500e+00,6.2122e-01,7.5117e-01,4.0028e-01
3.2000e+00,6.2728e-01,7.4056e-01,3.9330e-01
3.2500e+00,6.3598e-01,7.3016e-01,3.8646e-01
3.3000e+00,6.4639e-01,7.1996e-01,3.7977e-01
3.3500e+00,6.5779e-01,7.0997e-01,3.7322e-01
3.4000e+00,6.6898e-01,7.0017e-01,3.6682e-01
3.4500e+00,6.7817e-01,6.9057e-01,3.6055e-01
3.5000e+00,6.8558e-01,6.8116e-01,3.5442e-01
3.5500e+00,6.9086e-01,6.7194e-01,3.4841e-01
3.6000e+00,6.9448e-01,6.6290e-01,3.4254e-01
3.6500e+00,6.9270e-01,6.5403e-01,3.3679e-01
3.7000e+00,6.8862e-01,6.4533e-01,3.3117e-01
3.7500e+00,6.8226e-01,6.3681e-01,3.2566e-01
3.8000e+00,6.7359e-01,6.2844e-01,3.2028e-01
3.8500e+00,6.6316e-01,6.2024e-01,3.1501e-01
