#wavelength = 0.35439
#qmax = 15.0
#qmin = 0.0
#Qdamp = 0.04373
#Lorch = off
#Q, intensity(inelacstic), <f^2>, <f>^2
#
5.0000e-02,-2.5630e-03,1.3333e+00,9.8929e-01
1.0000e-01,-5.1259e-03,1.3315e+00,9.8799e-01
1.5000e-01,-7.6889e-03,1.3286e+00,9.8585e-01
2.0000e-01,-1.0252e-02,1.3245e+00,9.8286e-01
2.5000e-01,-1.2815e-02,1.3192e+00,9.7905e-01
3.0000e-01,-1.5378e-02,1.3129e+00,9.7445e-01
3.5000e-01,-1.7941e-02,1.3056e+00,9.6908e-01
4.0000e-01,-2.0504e-02,1.2973e+00,9.6297e-01
4.5000e-01,-2.3067e-02,1.2881e+00,9.5616e-01
5.0000e-01,-2.5630e-02,1.2780e+00,9.4869e-01
5.5000e-01,-6.0948e-02,1.2671e+00,9.4059e-01
6.0000e-01,-6.7156e-02,1.2556e+00,9.3192e-01
6.5000e-01,-5.8978e-02,1.2433e+00,9.2270e-01
7.0000e-01,-5.2109e-02,1.2305e+00,9.1300e-01
7.5000e-01,-3.9369e-02,1.2172e+00,9.0284e-01
8.0000e-01,-2.2173e-02,1.2034e+00,8.9228e-01
8.5000e-01,1.8299e-03,1.1892e+00,8.8136e-01
9.0000e-01,2.6223e-02,1.1747e+00,8.7011e-01
9.5000e-01,3.7035e-02,1.1599e+00,8.5859e-01
1.0000e+00,5.5899e-02,1.1449e+00,8.4683e-01
1.0500e+00,7.9203e-02,1.1296e+00,8.3487e-01
1.1000e+00,1.0679e-01,1.1142e+00,8.2274e-01
1.1500e+00,1.4561e-01,1.0987e+00,8.1048e-01
1.2000e+00,1.9441e-01,1.0832e+00,7.9811e-01
1.2500e+00,2.5571e-01,1.0676e+00,7.8568e-01
1.3000e+00,3.2953e-01,1.0519e+00,7.7320e-01
1.3500e+00,4.1611e-01,1.0363e+00,7.6070e-01
1.4000e+00,5.1699e-01,1.0208e+00,7.4821e-01
1.4500e+00,6.3232e-01,1.0052e+00,7.3574e-01
1.5000e+00,7.5608e-01,9.8982e-01,7.2331e-01
1.5500e+00,8.7486e-01,9.7449e-01,7.1095e-01
1.6000e+00,9.8182e-01,9.5927e-01,6.9867e-01
1.6500e+00,1.0749e+00,9.4418e-01,6.8649e-01
1.7000e+00,1.1530e+00,9.2924e-01,6.7441e-01
1.7500e+00,1.2100e+00,9.1444e-01,6.6244e-01
1.8000e+00,1.2452e+00,8.9981e-01,6.5061e-01
1.8500e+00,1.2625e+00,8.8536e-01,6.3891e-01
1.9000e+00,1.2558e+00,8.7108e-01,6.2735e-01
1.9500e+00,1.2451e+00,8.5700e-01,6.1595e-01
2.0000e+00,1.2286e+00,8.4310e-01,6.0471e-01
2.0500e+00,1.1535e+00,8.2941e-01,5.9362e-01
2.1000e+00,1.0726e+00,8.1592e-01,5.8271e-01
2.1500e+00,9.7983e-01,8.0265e-01,5.7196e-01
2.2000e+00,8.9520e-01,7.8958e-01,5.6139e-01
2.2500e+00,8.0616e-01,7.7673e-01,5.5099e-01
2.3000e+00,7.3189e-01,7.6409e-01,5.4076e-01
2.3500e+00,6.7072e-01,7.5168e-01,5.3072e-01
2.4000e+00,6.2026e-01,7.3948e-01,5.2085e-01
2.4500e+00,5.7965e-01,7.2750e-01,5.1116e-01
2.5000e+00,5.4850e-01,7.1574e-01,5.0165e-01
2.5500e+00,5.2150e-01,7.0420e-01,4.9232e-01
2.6000e+00,5.0209e-01,6.9288e-01,4.8316e-01
2.6500e+00,4.8796e-01,6.8178e-01,4.7418e-01
2.7000e+00,4.7849e-01,6.7089e-01,4.6538e-01
2.7500e+00,4.7261e-01,6.6021e-01,4.5675e-01
2.8000e+00,4.6804e-01,6.4975e-01,4.4829e-01
2.8500e+00,4.6236e-01,6.3949e-01,4.4000e-01
2.9000e+00,4.5714e-01,6.2945e-01,4.3188e-01
2.9500e+00,4.5402e-01,6.1960e-01,4.2392e-01
3.0000e+00,4.5161e-01,6.0996e-01,4.1613e-01
3.0500e+00,4.5040e-01,6.0051e-01,4.0850e-01
3.1000e+00,4.5162e-01,5.9126e-01,4.0103e-01
3.1500e+00,4.5429e-01,5.8220e-01,3.9371e-01
3.2000e+00,4.5748e-01,5.7333e-01,3.8655e-01
3.2500e+00,4.6232e-01,5.6464e-01,3.7954e-01
3.3000e+00,4.6993e-01,5.5613e-01,3.7267e-01
3.3500e+00,4.7775e-01,5.4780e-01,3.6596e-01
3.4000e+00,4.8068e-01,5.3964e-01,3.5938e-01
3.4500e+00,4.8442e-01,5.3164e-01,3.5295e-01
3.5000e+00,4.9230e-01,5.2381e-01,3.4665e-01
3.5500e+00,4.9703e-01,5.1614e-01,3.4049e-01
3.6000e+00,4.9634e-01,5.0863e-01,3.3446e-01
3.6500e+00,4.9795e-01,5.0127e-01,3.2855e-01
3.7000e+00,4.9740e-01,4.9406e-01,3.2278e-01
3.7500e+00,4.9450e-01,4.8699e-01,3.1712e-01
3.8000e+00,4.9163e-01,4.8006e-01,3.1159e-01
3.8500e+00,4.8852e-01,4.7327e-01,3.0617e-01
3.9000e+00,4.8419e-01,4.6661e-01,3.0087e-01
3.9500e+00,4.7956e-01,4.6008e-01,2.9568e-01
4.0000e+00,4.7629e-01,4.5368e-01,2.9060e-01
4.0500e+00,4.7350e-01,4.4739e-01,2.8563e-01
4.1000e+00,4.6974e-01,4.4123e-01,2.8076e-01
4.1500e+00,4.6434e-01,4.3518e-01,2.7599e-01
4.2000e+00,4.6103e-01,4.2924e-01,2.7132e-01
4.2500e+00,4.5954e-01,4.2341e-01,2.6675e-01
4.3000e+00,4.5874e-01,4.1768e-01,2.6228e-01
4.3500e+00,4.5952e-01,4.1205e-01,2.5790e-01
4.4000e+00,4.6095e-01,4.0653e-01,2.5361e-01
4.4500e+00,4.6244e-01,4.0110e-01,2.4940e-01
4.5000e+00,4.6550e-01,3.9576e-01,2.4528e-01
4.5500e+00,4.6661e-01,3.9051e-01,2.4125e-01
4.6000e+00,4.6582e-01,3.8536e-01,2.3730e-01
