#wavelength = 0.3494
#qmax = 15.0
#qmin = 0
#Qdamp = 0.04373
#Lorch = off
#Q, intensity(inelacstic), <f^2>, <f>^2
#
5.0000e-02,2.7780e-03,1.3121e+00,9.8792e-01
1.0000e-01,5.5560e-03,1.3104e+00,9.8663e-01
1.5000e-01,8.3339e-03,1.3074e+00,9.8449e-01
2.0000e-01,1.1112e-02,1.3034e+00,9.8152e-01
2.5000e-01,1.3890e-02,1.2982e+00,9.7772e-01
3.0000e-01,1.6668e-02,1.2920e+00,9.7314e-01
3.5000e-01,1.9446e-02,1.2847e+00,9.6778e-01
4.0000e-01,2.2224e-02,1.2765e+00,9.6169e-01
4.5000e-01,2.5002e-02,1.2674e+00,9.5490e-01
5.0000e-01,2.7780e-02,1.2574e+00,9.4744e-01
5.5000e-01,3.0558e-02,1.2467e+00,9.3936e-01
6.0000e-01,3.7196e-02,1.2352e+00,9.3070e-01
6.5000e-01,2.6944e-02,1.2231e+00,9.2149e-01
7.0000e-01,1.7854e-02,1.2104e+00,9.1179e-01
7.5000e-01,2.2018e-02,1.1971e+00,9.0163e-01
8.0000e-01,3.3507e-02,1.1835e+00,8.9106e-01
8.5000e-01,5.3656e-02,1.1694e+00,8.8013e-01
9.0000e-01,7.8159e-02,1.1549e+00,8.6887e-01
9.5000e-01,9.1120e-02,1.1402e+00,8.5732e-01
1.0000e+00,1.1249e-01,1.1252e+00,8.4553e-01
1.0500e+00,1.4087e-01,1.1101e+00,8.3354e-01
1.1000e+00,1.6512e-01,1.0948e+00,8.2137e-01
1.1500e+00,2.0142e-01,1.0793e+00,8.0906e-01
1.2000e+00,2.4978e-01,1.0638e+00,7.9664e-01
1.2500e+00,2.9651e-01,1.0483e+00,7.8415e-01
1.3000e+00,3.6267e-01,1.0327e+00,7.7161e-01
1.3500e+00,4.4095e-01,1.0171e+00,7.5905e-01
1.4000e+00,5.0683e-01,1.0016e+00,7.4649e-01
1.4500e+00,5.9847e-01,9.8615e-01,7.3396e-01
